         51063467 function calls (49002903 primitive calls) in 436.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       63    0.000    0.000    9.950    0.158 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\pt_utils.py:117(__next__)
       63    0.003    0.000    9.942    0.158 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\pt_utils.py:249(__next__)
      378    0.007    0.000    9.490    0.025 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\base.py:1199(forward)
      378    0.004    0.000    9.195    0.024 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\pipelines\zero_shot_classification.py:221(_forward)
      378    0.078    0.000    9.149    0.024 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:1723(forward)
       67    0.070    0.001    9.020    0.135 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:3186(from_pretrained)
        5    0.000    0.000    7.419    1.484 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\files.py:785(upload)
      180    0.007    0.000    7.240    0.040 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:492(forward)
       67    0.001    0.000    7.066    0.105 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\auto\tokenization_auto.py:606(get_tokenizer_config)
       67    0.032    0.000    6.964    0.104 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:4378(_load_pretrained_model)
      378    0.005    0.000    6.773    0.018 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:1463(forward)
        5    0.000    0.000    5.819    1.164 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\_api_client.py:515(upload_file)
        5    0.000    0.000    5.793    1.159 C:\Projects\form-sage\.venv310\lib\site-packages\google\genai\_api_client.py:537(_upload_fd)
    30129    5.692    0.000    5.692    0.000 {method 'encode' of 'ImagingEncoder' objects}
       67    0.002    0.000    5.110    0.076 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\Image.py:2354(save)
       67    0.002    0.000    4.998    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\PngImagePlugin.py:1227(_save)
       67    0.001    0.000    4.994    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\ImageFile.py:517(_save)
       67    0.002    0.000    4.992    0.075 C:\Projects\form-sage\.venv310\lib\site-packages\PIL\ImageFile.py:545(_encode_tile)
      378    0.023    0.000    4.641    0.012 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:1181(forward)
        5    0.000    0.000    3.621    0.724 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\clip\modeling_clip.py:914(forward)
     7146    0.065    0.000    3.142    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\paddleocr\tools\infer\utility.py:639(get_rotate_crop_image)
       67    0.003    0.000    3.068    0.046 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:654(_load_state_dict_into_model)
 29547/67    0.056    0.000    3.065    0.046 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:695(load)
    13608    0.166    0.000    2.996    0.000 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:418(forward)
     7146    2.960    0.000    2.960    0.000 {warpPerspective}
     4536    0.217    0.000    2.948    0.001 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\models\bart\modeling_bart.py:630(forward)
      134    2.760    0.021    2.760    0.021 {imwrite}
       67    0.054    0.001    2.643    0.039 C:\Projects\form-sage\.venv310\lib\site-packages\transformers\modeling_utils.py:563(set_initialized_submodules)
  756/378    0.001    0.000    2.195    0.006 C:\Projects\form-sage\.venv310\lib\site-packages\torch\_jit_internal.py:489(fn)
      378    0.001    0.000    2.194    0.006 C:\Projects\form-sage\.venv310\lib\site-packages\torch\functional.py:1047(_consecutive_return_output)
      378    0.001    0.000    2.193    0.006 C:\Projects\form-sage\.venv310\lib\site-packages\torch\functional.py:914(_unique_consecutive_impl)
      378    2.192    0.006    2.192    0.006 {built-in method torch.unique_consecutive}
